date	followers	following	medias
2018-09-12 14:44:41	2075	1691	147
2018-09-18 03:27:05	2084	1708	152
2018-09-18 04:27:05	2084	1708	152
2018-09-18 05:27:06	2084	1708	152
2018-09-18 06:27:06	2084	1708	152
2018-09-18 07:27:06	2084	1708	152
2018-09-18 08:27:07	2084	1708	152
2018-09-18 09:27:07	2084	1714	152
2018-09-18 10:27:07	2083	1714	152
2018-09-18 11:27:08	2083	1714	152
2018-09-18 12:27:08	2083	1713	152
2018-09-18 13:27:08	2086	1714	152
2018-09-18 14:27:09	2086	1714	152
2018-09-18 15:27:09	2086	1714	152
2018-09-18 16:27:10	2085	1715	152
2018-09-18 17:27:10	2086	1715	152
2018-09-18 18:27:10	2086	1715	152
2018-09-18 19:27:11	2085	1715	152
2018-09-18 20:27:11	2085	1715	152
2018-09-18 21:27:11	2083	1722	152
2018-09-18 22:27:12	2083	1722	152
2018-09-18 23:27:12	2083	1722	152
2018-09-19 00:27:13	2083	1722	152
2018-09-19 01:27:13	2083	1722	152
2018-09-19 02:27:14	2082	1723	152
2018-09-19 03:27:14	2083	1724	152
